product-image,product-name,product-price
https://product.hstatic.net/1000304920/product/462649862_529138213299387_7775887811927591840_n_acad9cf460044a74b651fe77ba0299f4_grande.jpg,ICE SPICE - LIKE.. ? (VINYL LP) - ĐĨA THAN,"1,250,000₫ 950,000₫"
https://product.hstatic.net/1000304920/product/nsync-better-place-7-inch-single-vinyl-lp-dia-than_3cabbd798c3a45ba84176bebfdeb775a_grande.jpg,NSYNC - BETTER PLACE (7-INCH SINGLE VINYL LP) - ĐĨA THAN,"550,000₫"
https://product.hstatic.net/1000304920/product/lil-uzi-vert-just-wanna-rock-7-inch-single-vinyl-lp-dia-than_c1720c7e13694f1c932789fe57b83ef3_grande.jpg,LIL UZI VERT - JUST WANNA ROCK (7-INCH SINGLE VINYL LP) - ĐĨA THAN,"550,000₫"
https://product.hstatic.net/1000304920/product/chicago_greatestchristmashits_1lp_red_productshot-min_3dee63a9404c4332b98c987530e43e40_grande.jpg,CHICAGO - GREATEST CHRISTMAS HITS (VINYL LP) - ĐĨA THAN,"950,000₫"
https://product.hstatic.net/1000304920/product/vuong_binh-anh_bo_vai-full_album_bc551e2e0ffe41b08c3ee2feb81aaa3e_grande.jpg,VƯƠNG BÌNH - ANH BỜ VAI (THE DEBUT ALBUM) - ĐĨA CD,"469,000₫"
https://product.hstatic.net/1000304920/product/le-cat-trong-ly-tuoi-25-baby-blue-tape-bang-cassette_f43c51596822454b8da54e90b76c540c_grande.jpg,LÊ CÁT TRỌNG LÝ - TUỔI 25 (BABY BLUE TAPE) - BĂNG CASSETTE,"350,000₫"
https://product.hstatic.net/1000304920/product/thanh_lam-cuon_phim-cover_d63f731b368d431482001bb8b7cafab5_grande.jpg,THANH LAM - CUỐN PHIM - ĐĨA CD,"380,000₫"
https://product.hstatic.net/1000304920/product/tung_duong-multiverse-da_vu_tru_d4d04562f83e4fff80ed8267e21b8eb3_grande.jpg,TÙNG DƯƠNG - MULTIVERSE (ĐA VŨ TRỤ) - ĐĨA CD,"450,000₫ 400,000₫"
https://product.hstatic.net/1000304920/product/vinyl_c4a6d5a6c6f14e15b31f78948b6c6fab_grande.jpg,TÙNG DƯƠNG - HUMAN (TRANSLUCENT SEA BLUE VINYL) - ĐĨA THAN,"1,200,000₫"
https://product.hstatic.net/1000304920/product/mockup__vinyl__668510184ced4ee39422e48f79b80c11_grande.jpg,HÀ TRẦN - ĐỂ EM MƠ (TRANSLUCENT RUBY VINYL LP) - ĐĨA THAN,"1,200,000₫"
https://product.hstatic.net/1000304920/product/taruki_album_146d945922ec486a8873c75c252d134b_grande.jpg,TARUKI SAX - THANH ÂM THỜI GIAN - ĐĨA CD,"300,000₫"
https://product.hstatic.net/1000304920/product/bleachers-bleachers-bang-cassette_418610a3739a47f8bd360c2a6df6d456_grande.jpg,BLEACHERS - BLEACHERS - BĂNG CASSETTE,"430,000₫"
https://product.hstatic.net/1000304920/product/coldplay_-_moon_music_-_dia_cd_5c7b33e88ab145e2aa203373e197d33c_grande.jpg,COLDPLAY - MOON MUSIC - ĐĨA CD,"420,000₫"
https://product.hstatic.net/1000304920/product/noah-kahan-stick-season-dia-cd_c9f6c54abc0a4dba90b744a4a69bb2a4_grande.jpg,NOAH KAHAN - STICK SEASON - ĐĨA CD,"360,000₫"
https://product.hstatic.net/1000304920/product/aaliyah-one-in-a-million-dia-cd_b8bae8d375d8484eb23ab0324f6267d0_grande.jpg,AALIYAH - ONE IN A MILLION - ĐĨA CD,"360,000₫"
https://product.hstatic.net/1000304920/product/joni-mitchell-hejira-vinyl-lp-dia-than_e5379ba524cd46918c1c8ef61a610f9b_grande.jpg,JONI MITCHELL - HEJIRA (VINYL LP) - ĐĨA THAN,"900,000₫"
https://product.hstatic.net/1000304920/product/paul-simon-one-trick-pony-vinyl-lp-dia-than_ebd6898efc164c5f8919c114e696e04b_grande.jpg,PAUL SIMON - ONE TRICK PONY (VINYL LP) - ĐĨA THAN,"800,000₫"
https://product.hstatic.net/1000304920/product/hoang_thuy_linh-vietnamese_concert-2cd_53fbb52254aa4ced949f979966b52166_grande.jpg,HOÀNG THUỲ LINH - VIETNAMESE CONCERT (THE ALBUM) - ĐĨA CD,"500,000₫"
https://product.hstatic.net/1000304920/product/soobin-bat_no_len-cassette_tape_8ddd2cc0575d4c68a623bd8b64d2082e_grande.jpg,SOOBIN - BẬT NÓ LÊN (SEA GREEN TAPE) - BĂNG CASSETTE,"350,000₫"
